"LOCATION","Reporter country","FLOW","Flow","PARTNER","Partner country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","EXP","Exports","JPN","Japan","Q","Quarterly","2022-Q2","Q2-2022","USD","US Dollar","0","Units",,,14005916387,,
"AUS","Australia","EXP","Exports","JPN","Japan","Q","Quarterly","2022-Q3","Q3-2022","USD","US Dollar","0","Units",,,14511330309,,
"AUS","Australia","EXP","Exports","JPN","Japan","Q","Quarterly","2022-Q4","Q4-2022","USD","US Dollar","0","Units",,,14000876961,,
"AUS","Australia","EXP","Exports","KOR","Korea","Q","Quarterly","2021-Q1","Q1-2021","USD","US Dollar","0","Units",,,4484491003,,
"AUS","Australia","EXP","Exports","KOR","Korea","Q","Quarterly","2021-Q2","Q2-2021","USD","US Dollar","0","Units",,,5696158062,,
"AUS","Australia","EXP","Exports","KOR","Korea","Q","Quarterly","2021-Q3","Q3-2021","USD","US Dollar","0","Units",,,6128838510,,
"AUS","Australia","EXP","Exports","KOR","Korea","Q","Quarterly","2021-Q4","Q4-2021","USD","US Dollar","0","Units",,,6376649720,,
"AUS","Australia","EXP","Exports","KOR","Korea","Q","Quarterly","2022-Q1","Q1-2022","USD","US Dollar","0","Units",,,6450416864,,
"AUS","Australia","EXP","Exports","KOR","Korea","Q","Quarterly","2022-Q2","Q2-2022","USD","US Dollar","0","Units",,,7328661661,,
"AUS","Australia","EXP","Exports","KOR","Korea","Q","Quarterly","2022-Q3","Q3-2022","USD","US Dollar","0","Units",,,5408953307,,
"AUS","Australia","EXP","Exports","KOR","Korea","Q","Quarterly","2022-Q4","Q4-2022","USD","US Dollar","0","Units",,,5696178549,,
"AUS","Australia","EXP","Exports","LUX","Luxembourg","Q","Quarterly","2021-Q1","Q1-2021","USD","US Dollar","0","Units",,,577746,,
"AUS","Australia","EXP","Exports","LUX","Luxembourg","Q","Quarterly","2021-Q2","Q2-2021","USD","US Dollar","0","Units",,,324382,,
"AUS","Australia","EXP","Exports","LUX","Luxembourg","Q","Quarterly","2021-Q3","Q3-2021","USD","US Dollar","0","Units",,,1759765,,
